11;Наименование события;Наименование ставки;Коэф;Банкролл;Ставка, уе.;Результат;Выигрыш;Чистый выигрыш;Коммент;Ссылки;;
17 May 2016, 03:00;Basketball ? Argentina ? Liga A ? Weber Bahia - Argentino;П2 pinnacle;3,22;100000;1000;2;0;-1000;;"http://www.oddsportal.com/basketball/argentina/liga-a/weber-bahia-argentino-f3NyzeS5/#home-away;1";;
17 May 2016, 03:00;Hockey ? USA ? NHL ? Pittsburgh Penguins - Tampa Bay Lightning;Ф2(+2) mbet;1,36;100000;3000;1;4080;1080;;;;
17 May 2016, 06:00;Tennis ? Thailand ? Bangkok 3 Challenger ? Glasspool L. - Whittington A.;ТБ(21.5) bet365;1,8;100000;3000;2;0;-3000;;;;
17 May 2016, 03:30;Basketball ? Argentina ? Liga A ? Sionista - Lanus;Ф2(+5.5) pinnacle;1,7;100000;2000;1;3400;1400;;;;
17 May 2016, 12:15;Hockey ? World ? World Championship ? USA - Slovakia;ТБ(4.5) pinnacle;1,5;100000;4000;2;0;-4000;;"http://www.oddsportal.com/hockey/world/world-championship/usa-slovakia-vm3h7l3B/#over-under;2;4.50;0";;
17 May 2016, 12:15;Hockey ? World ? World Championship ? Czech Republic - Switzerland;1 период: ТМ(2.5) mbet;1,21;100000;10000;1;12100;2100;;;;
17 May 2016, 12:15;Hockey ? World ? World Championship ? Czech Republic - Switzerland;1 период: ТМ(1.5) mbet;1,74;100000;2000;2;0;-2000;;;;
17 May 2016, 12:15;Hockey ? World ? World Championship ? Czech Republic - Switzerland;ИТ1Б(2) mbet;1,29;100000;10000;1;12900;2900;;;;
17 May 2016, 13:00;Tennis ? France ? ATP French Open ? Khachanov K. - Hamou M.;Ф1(-4) pinnacle;1,58;100000;5000;1;7900;2900;;"http://www.oddsportal.com/tennis/france/atp-french-open/khachanov-karen-hamou-maxime-htdLNYQS/#ah;2;-4.00;2";;
18 May 2016, 13:00;Soccer ? Vietnam ? V-League ? Thanh Hoa - Dong Thap;ИТ2М(1.5) mbet;1,22;100000;10000;1;12200;2200;;"http://www.oddsportal.com/soccer/vietnam/v-league/thanh-hoa-dong-thap-hfJ85P7t/#over-under;3;1.50;0";;
18 May 2016, 13:00;Soccer ? Vietnam ? V-League ? Thanh Hoa - Dong Thap;ИТ2М(0.5) mbet;2,26;100000;2000;1;4520;2520;;"http://www.oddsportal.com/soccer/vietnam/v-league/thanh-hoa-dong-thap-hfJ85P7t/#over-under;3;1.50;0";;
18 May 2016, 13:00;Tennis ? Switzerland ? ATP Geneva ? Isner J. - Rosol L.;1-й сет ТБ(9.5) bet365;1,36;100000;6000;1;8160;2160;;"http://www.oddsportal.com/tennis/switzerland/atp-geneva/isner-john-rosol-lukas-YktuRDO0/#over-under;12;9.50;2";;
18 May 2016, 14:35;Soccer ? China ? Super League ? Beijing Guoan - Hebei;ТМ(3) 1хbet;1,39;100000;5000;1;6950;1950;;"http://www.oddsportal.com/soccer/china/super-league/beijing-guoan-hebei-china-fortune-ETgZ5Ntd/#over-under;2;3.00;0";;
18 May 2016, 13:00;Tennis ? Switzerland ? ATP Geneva ? Isner J. - Rosol L.;Тотал тайбрейков Б(0.5) mbet;1,61;100000;2000;1;3220;1220;;"http://www.oddsportal.com/tennis/switzerland/atp-geneva/isner-john-rosol-lukas-YktuRDO0/#over-under;12;9.50;2";;
18 May 2016, 16:00;Tennis ? France ? ATP French Open ? Harrison R. - Melzer G.;П2 bet365;1,66;100000;3000;1;4980;1980;;http://www.oddsportal.com/tennis/france/atp-french-open/harrison-ryan-melzer-gerald-UDLVJBZN/;;
18 May 2016, 14:30;Tennis ? France ? ATP French Open ? Barton M. - Stepanek R.;Ф1(+6) pinnacle;1,39;100000;5000;1;6950;1950;;"http://www.oddsportal.com/tennis/france/atp-french-open/barton-matthew-stepanek-radek-0xM1Dff1/#ah;2;6.00;2";;
18 May 2016, 17:30;Tennis ? France ? ATP French Open ? Khachanov K. - Samper-Montana J.;П1 pinnacle;1,22;100000;10000;2;0;-10000;;;;
20 May 2016, 21:30;Soccer ? Italy ? Serie B ? Spezia - Ascoli;X betcity;1,7;100000;5000;1;8500;3500;дог.;http://www.oddsportal.com/soccer/italy/serie-b/spezia-ascoli-0ri4tmJi/;;
19 May 2016, 01:10;Soccer ? Argentina ? Copa Argentina ? Gimnasia L.P. - Deportivo Madryn;ТБ(2) 1xbet;1,46;100000;5000;1;7300;2300;;"http://www.oddsportal.com/soccer/argentina/copa-argentina/gimnasia-l-p-deportivo-madryn-MN2xamv3/#over-under;2;2.00;0";;
19 May 2016, 03:00;Hockey ? USA ? NHL ? Tampa Bay Lightning - Pittsburgh Penguins;ТБ(3,5) 5dimes;1,23;100000;7000;1;8610;1610;;"http://www.oddsportal.com/hockey/usa/nhl/tampa-bay-lightning-pittsburgh-penguins-tztCZZU8/#ah;2;0.00;0";;
19 May 2016, 03:00;Hockey ? USA ? NHL ? Tampa Bay Lightning - Pittsburgh Penguins;Ф1(0) осн. время mbet;2,07;100000;1500;2;0;-1500;;"http://www.oddsportal.com/hockey/usa/nhl/tampa-bay-lightning-pittsburgh-penguins-tztCZZU8/#ah;2;0.00;0";;
19 May 2016, 11:45;Теннис. ITF. Ф3. Швеция М. Эрикссон - А. Арвидссон;П1 1xbet;1,495;100000;5000;2;0;-5000;;;;
19 May 2016, 11:30;Теннис. Мужчины. Турнир ITF. Прага. Чехия. Clay. Сафранек В. - Михнёв П.;Ф2(+1.5) betcity;2,01;100000;2000;1;4020;2020;;;;
19 May 2016, 12:30;Tennis ? France ? WTA French Open ? Kozlova Kat. - Feuerstein C.;П1 1хbet;1,21;100000;5000;1;6050;1050;;;;
19 May 2016, 12:45;Теннис. Мужчины. Турнир ITF. Бостад. Швеция. Clay. Морайнг М. - Утида К.;П1 betcity;1,7;100000;3000;3;3000;0;отмена при 4:4;;;
19 May 2016, 14:00;Tennis ? France ? ATP French Open ? Michon A. - Donaldson J.;Ф1(+5) pinnacle;1,46;100000;4000;1;5840;1840;;;;
20 May 2016, 01:00; Теннис > ITF. Мексика. Ф3. Пары > Кирос/Эндара - Панта/Фигероа;П1 bet365;1,72;100000;3000;1;5160;2160;;;;
20 May 2016, 03:30;Basketball ? USA ? NBA ? Cleveland Cavaliers - Toronto Raptors;ТБ(188.5) william hill;1,3;100000;10000;1;13000;3000;;"http://www.oddsportal.com/basketball/usa/nba/cleveland-cavaliers-toronto-raptors-IqaG8HwF/#ah;1;-2.50;0";;
20 May 2016, 03:30;Basketball ? USA ? NBA ? Cleveland Cavaliers - Toronto Raptors;ТБ(194) mbet;1,47;100000;3000;1;4410;1410;;"http://www.oddsportal.com/basketball/usa/nba/cleveland-cavaliers-toronto-raptors-IqaG8HwF/#ah;1;-2.50;0";;
20 May 2016, 03:30;Basketball ? USA ? NBA ? Cleveland Cavaliers - Toronto Raptors;Ф1(-4.5) 5dimes;1,26;100000;5000;1;6300;1300;;"http://www.oddsportal.com/basketball/usa/nba/cleveland-cavaliers-toronto-raptors-IqaG8HwF/#ah;1;-2.50;0";;
20 May 2016, 04:00;Hockey ? USA ? NHL ? San Jose Sharks - St.Louis Blues;1-й период ТМ (2) mbet;1,24;100000;5000;1;6200;1200;;"http://www.oddsportal.com/hockey/usa/nhl/san-jose-sharks-st-louis-blues-x8SoiwIf/#cs;2;13";;
20 May 2016, 04:00;Hockey ? USA ? NHL ? San Jose Sharks - St.Louis Blues;ТМ (6) mbet;1,34;100000;5000;1;6700;1700;;"http://www.oddsportal.com/hockey/usa/nhl/san-jose-sharks-st-louis-blues-x8SoiwIf/#cs;2;14";;
